Contestant,Points
Netherlands,6650
Italy,5611
Norway,5069
Iceland,4879
Albania,3575
Slovenia,3567
Switzerland,3259
Australia,3076
Malta,2828
Portugal,2717
Cyprus,2558
North Macedonia,2410
Azerbaijan,2028
Romania,1730
Czech Republic,1704
Armenia,1701
Serbia,1641
Spain,1612
Greece,1549
France,1497
Russia,1390
Sweden,1280
Belarus,1206
Poland,1082
Latvia,1061
San Marino,748
Denmark,622
Hungary,599
Georgia,569
Belgium,482
Ireland,475
Germany,439
Austria,433
Estonia,371
Moldova,299
Israel,292
Lithuania,255
Croatia,253
Finland,229
Montenegro,222
United Kingdom,126
